Final energy;Sector;Energy Service;Energy System;Energy Carrier;Summary
Residential;Residential;Space heating;Solids;Solids|Coal;Residential|Residential|Space heating|Solids|Coal
Residential;Residential;Space heating;Liquified petroleum gas (LPG);Liquids|Gas;Residential|Residential|Space heating|Liquids|Gas
Residential;Residential;Space heating;Diesel oil;Liquids|Oil;Residential|Residential|Space heating|Liquids|Oil
Residential;Residential;Space heating;Gas heat pumps;Gases|Gas;Residential|Residential|Space heating|Gases|Gas
Residential;Residential;Space heating;Natural gas;Gases|Gas;Residential|Residential|Space heating|Gases|Gas
Residential;Residential;Space heating;Biomass;Solids|Biomass;Residential|Residential|Space heating|Solids|Biomass
Residential;Residential;Space heating;Geothermal;Electricity;Residential|Residential|Space heating|Electricity
Residential;Residential;Space heating;Distributed heat;Heat;Residential|Residential|Space heating|Heat
Residential;Residential;Space heating;Advanced electric heating;Electricity;Residential|Residential|Space heating|Electricity
Residential;Residential;Space heating;Conventional electric heating;Electricity;Residential|Residential|Space heating|Electricity
Residential;Residential;Space heating;BioOil;Liquids|Biomass;Residential|Residential|Space heating|Liquids|Biomass
Residential;Residential;Space heating;BioGas;Gases|Biomass;Residential|Residential|Space heating|Gases|Biomass
Residential;Residential;Space heating;Hydrogen;Hydrogen;Residential|Residential|Space heating|Hydrogen
Residential;Residential;Space cooling;Gas heat pumps;Gases|Gas;Residential|Residential|Space cooling|Gases|Gas
Residential;Residential;Space cooling;Electric space cooling;Electricity;Residential|Residential|Space cooling|Electricity
Residential;Residential;Water heating;Solids;Solids|Coal;Residential|Residential|Water heating|Solids|Coal
Residential;Residential;Water heating;Liquified petroleum gas (LPG);Liquids|Gas;Residential|Residential|Water heating|Liquids|Gas
Residential;Residential;Water heating;Diesel oil;Liquids|Oil;Residential|Residential|Water heating|Liquids|Oil
Residential;Residential;Water heating;Natural gas;Gases|Gas;Residential|Residential|Water heating|Gases|Gas
Residential;Residential;Water heating;Biomass;Solids|Biomass;Residential|Residential|Water heating|Solids|Biomass
Residential;Residential;Water heating;Geothermal;Electricity;Residential|Residential|Water heating|Electricity
Residential;Residential;Water heating;Distributed heat;Heat;Residential|Residential|Water heating|Heat
Residential;Residential;Water heating;Electricity;Electricity;Residential|Residential|Water heating|Electricity
Residential;Residential;Water heating;Solar;Heat|Solar;Residential|Residential|Water heating|Heat|Solar
Residential;Residential;Water heating;BioOil;Liquids|Biomass;Residential|Residential|Water heating|Liquids|Biomass
Residential;Residential;Water heating;BioGas;Gases|Biomass;Residential|Residential|Water heating|Gases|Biomass
Residential;Residential;Water heating;Hydrogen;Hydrogen;Residential|Residential|Water heating|Hydrogen
Residential;Residential;Cooking;Solids;Solids|Coal;Residential|Residential|Cooking|Solids|Coal
Residential;Residential;Cooking;Liquified petroleum gas (LPG);Liquids|Gas;Residential|Residential|Cooking|Liquids|Gas
Residential;Residential;Cooking;Natural gas;Gases|Gas;Residential|Residential|Cooking|Gases|Gas
Residential;Residential;Cooking;Biomass;Solids|Biomass;Residential|Residential|Cooking|Solids|Biomass
Residential;Residential;Cooking;Electricity;Electricity;Residential|Residential|Cooking|Electricity
Residential;Residential;Appliances;Electricity;Electricity;Residential|Residential|Appliances|Electricity
Residential;Residential;Lighting;Electricity;Electricity;Residential|Residential|Lighting|Electricity
